id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
31953126.0,https://www.airbnb.com/rooms/31953126,20250600000000.0,17/06/2025,city scrape,"Sunny Adams-Morgan studio near everything, parking","Zen-inspired renovated elegant studio in safe, quiet, tree-lined historic Adams Morgan. Japanese bamboo garden. Full kitchen+bath. Perks: luxurious high-end Tempurpedic MASSAGE BED, wine bar, hardwood floor, towel-warmer, USB wall-plugs, yoga mat. Minutes to dine&shop in Adams Morgan & Mt Pleasant. Walk: 2 min. National Zoo; 5 min. Safeway; 7 min. Columbia Heights metro/DCUSA mall, 15 min. Woodley Park metro; 20 min DuPont Circle. Many buses nearby. Parking available. Great location-heart of DC!","Heart of DC: tree-lined quiet, historic streets are the hallmark of Adams Morgan and Mt Pleasant neighborhoods. Minutes from the world-renowned National Zoo (pandas!). Michelin star restaurant around the corner (Tail's Up Goat). Many bars, restaurants, taquerias, pizzerias, supermarkets (big SAFEWAY 5 minutes walk), shops, cafes, bakeries minutes away. Easy access to DC's highlights via metro or buses 5-7 minutes walk away (museums, National Mall, etc). Farmers Market nearby.",https://a0.muscache.com/pictures/miso/Hosting-31953126/original/0ad3ffd2-79f8-4b78-be90-40486ddbbc71.jpeg,570552730,https://www.airbnb.com/users/show/570552730,Alba,04/04/2024,,,,,,f,https://a0.muscache.com/im/pictures/user/2e2d9b67-e6ff-4b89-96e3-0a426f983423.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2e2d9b67-e6ff-4b89-96e3-0a426f983423.jpg?aki_policy=profile_x_medium,,2.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,"Kalorama Heights, Adams Morgan, Lanier Heights",,38.92645,-77.04076,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Ceiling fan"", ""Hot water"", ""Freezer"", ""Refrigerator"", ""Exercise equipment: yoga mat"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Room-darkening shades"", ""Hangers"", ""Central air conditioning"", ""Laundromat nearby"", ""Essentials"", ""Hot water kettle"", ""Smart lock"", ""Toaster"", ""Long term stays allowed"", ""Free parking on premises"", ""Dishes and silverware"", ""Dining table"", ""Body soap"", ""Dishwasher"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Shower gel"", ""Mosquito net"", ""Books and reading material"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Central heating"", ""Dedicated workspace"", ""Bed linens"", ""Private patio or balcony"", ""Carbon monoxide alarm"", ""Stove"", ""Outdoor furniture"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""Private entrance"", ""Pets allowed"", ""Outdoor dining area"", ""Bathtub"", ""First aid kit"", ""Iron"", ""Portable fans"", ""Theme room"", ""Single level home"", ""Clothing storage: dresser"", ""Garden view"", ""Portable heater"", ""Coffee"", ""Conditioner"", ""Cleaning products""]",$114.00,1,90,1,14,90,90,8.2,90.0,,t,16,46,76,76,17/06/2025,128,17,4,76,28,102,11628.0,10/03/2019,08/06/2025,4.79,4.79,4.73,4.94,4.96,4.95,4.73,Hosted License: 5007242201001733,f,1,1,0,0,1.68
47451426.0,https://www.airbnb.com/rooms/47451426,20250600000000.0,17/06/2025,city scrape,Spacious Modern Oasis ~ in the heart of DC,"This spacious modern oasis is nestled in the heart of DC, in the Historic Anacostia neighborhood- home to Fredrick Douglass, a National Park Site & museum just two blocks over. Conveniently located in the DMV, you can access nearly all of The District as well as Virginia and Maryland metro areas in under 20 minutes. Ride sharing is just about 10 minutes to some of the best restaurants in the city, along with Nat’s Stadium, Union Market, Navy Yard, Capitol Hill, the Waterfront & the DC Monuments.","Historic Anacostia is a very special neighborhood (of course we aren’t bias), East of the Anacostia River (EOTR). A historically working class and Black neighborhood, as our nations’ history has taught us, communities EOTR were strategically separated from the rest of the District, creating differential impact and disparities that have manifested in so many ways- economically, socially, in housing, transportation, health care, public safety, education, job growth etc, the list truly goes on. <br />As development and gentrification rapidly make their way throughout DC’s corridors, Anacostia is being stretched and challenged to grow while maintaining space and opportunity for those who have called it home for much longer than we have. We ask that you keep these realities in mind when choosing any AirBnB, and particularly ours, as we are all looking for safe and vibrant places to raise our families and explore our Nation’s Capitol. We are very proud and humbled to be members of this commu",https://a0.muscache.com/pictures/hosting/Hosting-47451426/original/75dcc66b-e222-40a2-b95b-9cdb22fd2108.jpeg,383058773,https://www.airbnb.com/users/show/383058773,Alex,04/01/2021,,,within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/4d5d8bce-9f66-46c4-8bbc-4719fe3c3682.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4d5d8bce-9f66-46c4-8bbc-4719fe3c3682.jpg?aki_policy=profile_x_medium,Southeast Washington,1.0,1.0,['phone'],t,t,Neighborhood highlights,Historic Anacostia,,38.8658,-76.98126,Entire home,Entire home/apt,6,2.5,2.5 baths,3.0,3.0,"[""Ceiling fan"", ""Hot water"", ""Freezer"", ""Refrigerator"", ""Smoke alarm"", ""Baking sheet"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Bread maker"", ""Hair dryer"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""BBQ grill"", ""Toaster"", ""TV"", ""Long term stays allowed"", ""Washer"", ""Dishes and silverware"", ""Dining table"", ""Dishwasher"", ""Barbecue utensils"", ""Fire pit"", ""Coffee maker: pour-over coffee"", ""Rice maker"", ""Dedicated workspace"", ""High chair"", ""Bed linens"", ""Mini fridge"", ""Private patio or balcony"", ""Clothing storage"", ""Air conditioning"", ""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""Stove"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""Wine glasses"", ""Outdoor furniture"", ""Self check-in"", ""Keypad"", ""Bathtub"", ""Iron"", ""Heating"", ""Portable fans"", ""Pets allowed"", ""Free parking on premises"", ""Drying rack for clothing"", ""Gym"", ""Dryer"", ""Sound system""]",$257.00,5,1125,5,7,1125,1125,5.1,1125.0,,t,25,31,61,228,17/06/2025,12,1,0,169,1,10,2570.0,29/03/2021,30/11/2024,4.75,4.75,4.92,4.92,4.92,3.83,4.83,Hosted License: 5007242201001683<br />Unhosted License: 5007262201001684,f,1,1,0,0,0.23
47498455.0,https://www.airbnb.com/rooms/47498455,20250600000000.0,17/06/2025,city scrape,Gorgeous Nest,"Gorgeous Nest is a cozy No Smoking suite, sleeps up to  2 guests, located in the basement of a home with Privacy and Convenience. With small refrigerator.  Private entry through the alleyway by the fence. Quiet neighborhood.  Walk to Walmart. Metro bus accessible to Metro stations: Fort Totten, Takoma, Columbia Heights.  Walk to Georgia Ave., Metrobus accessible to Union Station, White House,  Washington Monument,  the Capitol,  Hospitals: Children's, Veteran's, MedStar, Howard, GWU. Adventist.",16th street heights/Brightwood. Quiet neighborhood. Walk to Walmart. Metro accessible (Fort Totten and Takoma metro stations) Nearby dine and wine,https://a0.muscache.com/pictures/05899e0c-d680-4fb0-b204-c9267b9d0382.jpg,383399604,https://www.airbnb.com/users/show/383399604,Nnenna Joy,06/01/2021,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/5e18dfb5-80e9-477f-a290-1d94ba7a8253.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5e18dfb5-80e9-477f-a290-1d94ba7a8253.jpg?aki_policy=profile_x_medium,Sixteenth Street Heights,1.0,1.0,"['email', 'phone']",t,f,Neighborhood highlights,"Brightwood Park, Crestwood, Petworth",,38.95969,-77.02961,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hot water"", ""Refrigerator"", ""Fire extinguisher"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Hangers"", ""Laundromat nearby"", ""Essentials"", ""TV"", ""Body soap"", ""Shower gel"", ""Dedicated workspace"", ""Bed linens"", ""Mini fridge"", ""Clothing storage"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Self check-in"", ""Microwave"", ""Private entrance"", ""Free driveway parking on premises \u2013 1 space"", ""Iron"", ""Heating"", ""Portable fans"", ""Lockbox"", ""Indoor fireplace"", ""Cleaning products""]",$60.00,1,28,1,1,28,28,1.0,28.0,,t,17,33,57,304,17/06/2025,271,41,2,165,35,246,14760.0,30/01/2021,08/06/2025,4.76,4.81,4.82,4.84,4.94,4.69,4.8,Exempt,t,1,1,0,0,5.08
47546873.0,https://www.airbnb.com/rooms/47546873,20250600000000.0,17/06/2025,city scrape,Cozy room in a townhouse near everything,Townhouse minutes away from D.C. popular sights and walking distance to the metro.,,https://a0.muscache.com/pictures/miso/Hosting-47546873/original/89cb4de4-d228-4937-9267-044dcba14a54.jpeg,383776222,https://www.airbnb.com/users/show/383776222,Kidest,09/01/2021,,,within a few hours,100%,100%,t,https://a0.muscache.com/im/pictures/user/1aa04e3b-d40f-44d2-b45a-fa51abe1be4c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1aa04e3b-d40f-44d2-b45a-fa51abe1be4c.jpg?aki_policy=profile_x_medium,Mayfair,2.0,3.0,"['email', 'phone']",t,t,,"Mayfair, Hillbrook, Mahaning Heights",,38.90127,-76.95229,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,"[""32 inch HDTV"", ""Dedicated workspace"", ""Free parking on premises"", ""Washer"", ""First aid kit"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Lock on bedroom door"", ""Central air conditioning"", ""Kitchen"", ""Indoor fireplace"", ""Exterior security cameras on property""]",$40.00,31,365,31,31,365,365,31.0,365.0,,t,16,46,76,351,17/06/2025,18,2,0,184,2,124,4960.0,26/12/2021,18/08/2024,4.61,4.56,4.67,4.72,4.39,4.28,4.39,,f,2,0,2,0,0.43
47560691.0,https://www.airbnb.com/rooms/47560691,20250600000000.0,17/06/2025,city scrape,Beautiful Brand New Unit,Walking distance to Union Market and H Street. Fully remodeled Row Home features front and rear private entrances. There are 2 rooms one with king size bed and another with a single size bed.  The living room sofa is a sofa bed and can sleep two.  Guests will have access to WiFi and Sling TV. If you love nature you will love the near by Arboretum which is less than 2 miles away.  Kitchen is fully equipped with all you need!,"A short walk from the restaurant and bar scene along Northeast’s H Street corridor, a ten-minute stroll from Union Market, and less than a 20-minute walk from NoMa (and the Red Line).  Within a mile you will find grocery stores such as Whole Foods Market, Trader Joe's, Safeway and Giant Food.",https://a0.muscache.com/pictures/miso/Hosting-47560691/original/4d4a7021-c9e9-4df2-b5c5-0ee57988fc01.jpeg,383928857,https://www.airbnb.com/users/show/383928857,Annie,10/01/2021,,,within an hour,100%,88%,f,https://a0.muscache.com/im/pictures/user/a33e8613-7f6a-4666-a59a-eef30e8691ee.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a33e8613-7f6a-4666-a59a-eef30e8691ee.jpg?aki_policy=profile_x_medium,Northeast Washington,2.0,2.0,"['email', 'phone']",t,f,Neighborhood highlights,"Ivy City, Arboretum, Trinidad, Carver Langston",,38.90493,-76.98891,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Hot water"", ""Refrigerator"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Washer"", ""Dishes and silverware"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""TV with standard cable"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Stove"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""Private entrance"", ""Exterior security cameras on property"", ""Iron"", ""Heating"", ""Single level home"", ""Ethernet connection"", ""Lockbox"", ""Dryer""]",$117.00,2,29,1,3,29,29,1.7,29.0,,t,1,1,1,184,17/06/2025,68,4,0,17,13,24,2808.0,14/02/2021,14/10/2024,4.71,4.76,4.76,4.93,4.96,4.66,4.6,Hosted License: 5007242201001850,f,2,2,0,0,1.29
47706436.0,https://www.airbnb.com/rooms/47706436,20250600000000.0,17/06/2025,city scrape,"2BD, 2BA near Catholic Univ. Completely Private","Modern and updated ground level 2br and 2ba unit with private in room bathrooms.  This unit is perfect for families and small groups. This beautiful single family home in quite neighborhood.<br /><br />Close to Catholic University,  Metro & recreation center.<br /><br />Kitchenette with all major appliances. Amenities include in unit washer and dryer, central air & wifi. <br /><br />No shared amenities. Free street parking. <br /><br />Absolutely No Parties & No Pets. Fee applies <br /><br />Discount available for extended stays",,https://a0.muscache.com/pictures/8bf52aca-26aa-441b-8f05-56750fd60fe3.jpg,384301691,https://www.airbnb.com/users/show/384301691,Zecarias,12/01/2021,,,a few days or more,0%,57%,f,https://a0.muscache.com/im/pictures/user/c8952bea-b26b-401c-b9bd-54dc2854c232.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c8952bea-b26b-401c-b9bd-54dc2854c232.jpg?aki_policy=profile_x_medium,Northeast Washington,2.0,2.0,"['email', 'phone']",t,t,,"Woodridge, Fort Lincoln, Gateway",,38.94048,-76.97377,Entire home,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Hot water"", ""Fire extinguisher"", ""Smoke alarm"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""TV"", ""Washer"", ""Crib"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Self check-in"", ""Shampoo"", ""Private entrance"", ""Kitchen"", ""First aid kit"", ""Iron"", ""Heating"", ""Free parking on premises"", ""Lockbox"", ""Dryer""]",$128.00,4,350,4,4,1125,1125,4.0,1125.0,,t,0,0,0,255,17/06/2025,16,0,0,88,0,0,0.0,08/04/2021,30/10/2023,4.38,4.19,4.69,4.81,4.69,4.75,4.25,Hosted License: 5007242201001848,t,2,2,0,0,0.31
48008408.0,https://www.airbnb.com/rooms/48008408,20250600000000.0,17/06/2025,city scrape,Modern Chic Basement Studio Suite,"Private entrance basement studio suite, close to all attractions in the area.  Suite includes a full size bed, full bathroom, kitchen and living area. Keyless and contactless entry.<br /><br />1 mile to waterfront trails at the Anacostia Park <br /><br />2 miles to Washington Nationals Baseball and D.C. United Soccer Stadium<br /><br />4 miles to downtown DC, White House, Capitol Building, museums and monuments.<br /><br />10 min drive to National Harbor,  MGM Casino & Tanger Outlets<br /><br />11 miles to FedEx Field (Washington Commanders)","Located in Historic Anacostia neighborhood, this area is in a quiet townhouse near the end of a residential cul de sac on a hill that overlooks the city.   One of the fastest up and coming neighborhoods in DC, this neighborhood boasts the Historic home of Frederick Douglass, only three blocks away from the apartment. Anacostia also just opened a brand new Starbucks and Busboys&Poets restaurant approximately half a mile from this home.  There is also a classic pizza spot, beautiful arts center, art studios and numerous banks (Chase, PNC and Wells Fargo) less than a mile from the home. <br /><br />This home is also an easy 1 mile walk from the largest park on the east coast, Anacostia Park.  This riverfront park has miles of open fields, 15+ miles of walk/bike trails, outdoor basketball/tennis courts, two youth playgrounds, an outdoor swimming pool during the warmer months and even an outdoor roller skating rink! <br /><br />This home is also 2.5 miles from the Washington Nationals Baseb",https://a0.muscache.com/pictures/dfd3afc5-2b7d-4514-8da8-118e967d8d22.jpg,386999455,https://www.airbnb.com/users/show/386999455,Greg,02/02/2021,"Washington, DC","Hi, I’m Gregory! I’ve spent the past decade working in public service and community leadership, focused on improving safety and access to resources in underserved communities. I’m passionate about creating positive change and connecting with people wherever I go. When I’m not working, I love exploring new cities, enjoying good food, and finding peaceful places to recharge. I’m respectful, clean, and always grateful for a welcoming place to stay.",within a day,100%,100%,t,https://a0.muscache.com/im/pictures/user/824a42ac-bda6-4154-9f9d-773a2201dd34.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/824a42ac-bda6-4154-9f9d-773a2201dd34.jpg?aki_policy=profile_x_medium,Southeast Washington,2.0,4.0,"['email', 'phone']",t,t,Neighborhood highlights,Historic Anacostia,,38.86259,-76.978,Entire guest suite,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Hot water"", ""Freezer"", ""City skyline view"", ""36 inch HDTV with Netflix, Hulu, Disney+, Amazon Prime Video, Roku"", ""Refrigerator"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hangers"", ""Laundromat nearby"", ""Essentials"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Body soap"", ""Shower gel"", ""Extra pillows and blankets"", ""Stainless steel oven"", ""Stainless steel stove"", ""Bed linens"", ""Clothing storage"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Private entrance"", ""Kitchen"", ""Exterior security cameras on property"", ""Iron"", ""Heating"", ""Pets allowed"", ""Free parking on premises"", ""Lockbox"", ""Cleaning products""]",$60.00,31,1125,31,31,1125,1125,31.0,1125.0,,t,0,13,43,223,17/06/2025,47,3,0,151,3,186,11160.0,07/02/2021,31/03/2025,4.43,4.55,4.43,4.96,4.68,4.02,4.43,,f,2,2,0,0,0.89
48010456.0,https://www.airbnb.com/rooms/48010456,20250600000000.0,17/06/2025,city scrape,"Completely Private, 1BD&1BA, near Catholic Univ.","Modern and updated upstairs unit in a  quite neighborhood. The spacious corner house provides the perfect balance of city living and suburbia.<br /><br />Easy access to all DC attractions, close to Catholic University,  Metro & recreation center.<br /><br />Kitchen is fully loaded with all major appliances, dishwasher and dishware.<br /><br />No washer and dryer. No shared amenties. Free Street parking. <br />Absolutley No Parties & No Pets. Fee applies. <br /><br />Basement unit (2BD, 2BA) available for rental separately.",,https://a0.muscache.com/pictures/fd47167b-5284-43ea-9238-8dce08f4acdd.jpg,384301691,https://www.airbnb.com/users/show/384301691,Zecarias,12/01/2021,,,a few days or more,0%,57%,f,https://a0.muscache.com/im/pictures/user/c8952bea-b26b-401c-b9bd-54dc2854c232.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c8952bea-b26b-401c-b9bd-54dc2854c232.jpg?aki_policy=profile_x_medium,Northeast Washington,2.0,2.0,"['email', 'phone']",t,t,,"North Michigan Park, Michigan Park, University Heights",,38.94091,-76.9733,Entire home,Entire home/apt,5,1.0,1 bath,1.0,1.0,"[""Hot water"", ""Freezer"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Safe"", ""Cooking basics"", ""Wifi"", ""Free street parking"", ""Hair dryer"", ""Essentials"", ""TV"", ""Long term stays allowed"", ""Dishes and silverware"", ""Private backyard"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Extra pillows and blankets"", ""Stainless steel oven"", ""Crib"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Private entrance"", ""Kitchen"", ""Wine glasses"", ""Bathtub"", ""Iron"", ""Heating"", ""Gas stove"", ""Single level home"", ""Free parking on premises"", ""Coffee"", ""Lockbox"", ""Clothing storage: closet""]",$105.00,3,300,3,3,300,300,3.0,300.0,,t,0,0,0,259,17/06/2025,34,2,0,92,4,12,1260.0,15/02/2021,01/11/2024,4.76,4.82,4.88,4.71,4.91,4.74,4.71,Hosted License: 5007242201001848,f,2,2,0,0,0.64
48017116.0,https://www.airbnb.com/rooms/48017116,20250600000000.0,17/06/2025,city scrape,"2 Min Walk to Metro, 2 Bedroom Ground Level Apt","2 Mins walk to Mt Vernon Square/Convention Center Metro, which is the Green/Yellow Line. You can also walk to Union Station for Amtrak/MegaBus/MARC trains/ all metro lines. You are steps from Historic Blagden Alley and The Dabney, a top 5 DC Restaurant. This is a ground level 600 square foot 2 bedroom 1 bath apartment in a cute historic DC brownstone townhouse shared with only 3 other units. A newly remodeled kitchen and bathroom with new appliances.",,https://a0.muscache.com/pictures/miso/Hosting-48017116/original/74632e42-2003-4245-9fa7-881835d1900a.jpeg,382697037,https://www.airbnb.com/users/show/382697037,Nick,02/01/2021,,,within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/User-382697037/original/0854f5c4-3c75-4dcf-8f5a-0ffb01872338.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-382697037/original/0854f5c4-3c75-4dcf-8f5a-0ffb01872338.jpeg?aki_policy=profile_x_medium,Northwest Washington,12.0,20.0,"['email', 'phone']",t,t,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,38.90427,-77.02133,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,2.0,"[""Hot water"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""TV"", ""Washer"", ""Dishes and silverware"", ""Dining table"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Self check-in"", ""Kitchen"", ""Exterior security cameras on property"", ""Keypad"", ""Iron"", ""Heating"", ""Dryer""]",$158.00,1,1125,1,5,1125,1125,4.2,1125.0,,t,9,26,45,209,17/06/2025,107,32,4,150,12,192,30336.0,11/02/2021,08/06/2025,4.78,4.87,4.63,4.98,4.95,4.89,4.68,Exempt,f,3,3,0,0,2.02
48088995.0,https://www.airbnb.com/rooms/48088995,20250600000000.0,17/06/2025,previous scrape,Modern Chic Family Friendly 2 Bedroom DC Townhome,"Modern chic newly renovated furnished townhome in the Historic Anacostia neighborhood in SE DC. <br /><br /> *Less than a mile to beautiful waterfront bike/walk trails, and the largest park in DC at Anacostia Park *Two miles from the Navy Yard"" home to the Washington Nationals & D.C. United *10-12 min drive to downtown, National Mall, National Harbor and MGM. *2 Blocks from metro bus. Private keyless and contactless entry *Includes free street parking and pet friendly, backyard.","Located in Historic Anacostia neighborhood, this area is in a quiet townhouse near the end of a residential cul de sac on a hill that overlooks the city. One of the fastest up and coming neighborhoods in DC, this neighborhood boasts the Historic home of Frederick Douglass, only three blocks away from the apartment. Anacostia also just opened a brand new Starbucks and Busboys&Poets restaurant approximately half a mile from this home. There is also a classic pizza spot, beautiful arts center, art studios and numerous banks (Chase, PNC and Wells Fargo) less than a mile from the home.<br /><br />This home is also an easy 1 mile walk from the largest park on the east coast, Anacostia Park. This riverfront park has miles of open fields, 15+ miles of walk/bike trails, outdoor basketball/tennis courts, two youth playgrounds, an outdoor swimming pool during the warmer months and even an outdoor roller skating rink!<br /><br />This home is also 2.5 miles from the Washington Nationals Baseball St",https://a0.muscache.com/pictures/d37bc3f0-136d-4025-9f8d-d7c7d1cfb3a5.jpg,386999455,https://www.airbnb.com/users/show/386999455,Greg,02/02/2021,"Washington, DC","Hi, I’m Gregory! I’ve spent the past decade working in public service and community leadership, focused on improving safety and access to resources in underserved communities. I’m passionate about creating positive change and connecting with people wherever I go. When I’m not working, I love exploring new cities, enjoying good food, and finding peaceful places to recharge. I’m respectful, clean, and always grateful for a welcoming place to stay.",within a day,100%,100%,t,https://a0.muscache.com/im/pictures/user/824a42ac-bda6-4154-9f9d-773a2201dd34.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/824a42ac-bda6-4154-9f9d-773a2201dd34.jpg?aki_policy=profile_x_medium,Southeast Washington,2.0,4.0,"['email', 'phone']",t,t,Neighborhood highlights,Historic Anacostia,,38.86247,-76.97801,Entire guest suite,Entire home/apt,4,,1 bath,2.0,,"[""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Hangers"", ""Essentials"", ""TV"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Private entrance"", ""Kitchen"", ""Exterior security cameras on property"", ""Iron"", ""Heating"", ""Pets allowed"", ""Free parking on premises"", ""Lockbox"", ""Dryer""]",,31,1125,31,31,1125,1125,31.0,1125.0,,t,28,58,88,178,17/06/2025,10,0,0,178,0,0,,11/04/2021,04/08/2021,4.5,4.4,4.3,4.4,4.9,4.7,4.5,,f,2,2,0,0,0.2
